0.3512, 0.0556
0.3532, 0.0608
0.3476, 0.0604
0.3466, 0.0566
0.3518, 0.0592
0.368, 0.0482
0.3984, 0.0452
0.4372, 0.0478
0.4514, 0.04
0.4918, 0.0402
0.5136, 0.0364
0.556, 0.0368
0.3672, 0.0588
0.368, 0.0562
0.3724, 0.0504
0.3592, 0.058
0.3806, 0.0528
0.4032, 0.0468
0.4262, 0.047
0.433, 0.0412
0.4812, 0.037
0.524, 0.036
0.5636, 0.0344
0.3824, 0.0578
0.3864, 0.0542
0.3878, 0.0566
0.4148, 0.0524
0.4054, 0.0486
0.4382, 0.045
0.4766, 0.0408
0.496, 0.0428
0.5276, 0.0396
0.5748, 0.0372
0.3976, 0.0562
0.4036, 0.0558
0.4222, 0.0514
0.4348, 0.0478
0.4572, 0.0462
0.4754, 0.0446
0.4924, 0.0454
0.5338, 0.0352
0.5854, 0.0352
0.4148, 0.0524
0.4354, 0.0518
0.4478, 0.0462
0.4638, 0.0428
0.4712, 0.0432
0.5112, 0.0416
0.5464, 0.0382
0.5694, 0.0368
0.4582, 0.0484
0.464, 0.0462
0.4942, 0.0412
0.4906, 0.0438
0.5154, 0.0418
0.5474, 0.0366
0.5832, 0.0334
0.5074, 0.0366
0.5136, 0.0358
0.5388, 0.033
0.5378, 0.0348
0.5682, 0.0314
0.6084, 0.0268
0.5322, 0.0312
0.5336, 0.0342
0.5634, 0.0304
0.5858, 0.025
0.6148, 0.0256
0.5596, 0.03
0.58, 0.0252
0.6032, 0.024
0.65, 0.0222
0.5776, 0.0282
0.6104, 0.0232
0.651, 0.0194
0.6194, 0.0198
0.6504, 0.017
0.6686, 0.017
