0.5042, 0.019
0.2968, 0.0582
0.318, 0.054
0.3124, 0.0554
0.3198, 0.0574
0.3206, 0.0616
0.351, 0.0496
0.37, 0.0504
0.3904, 0.0496
0.4228, 0.0468
0.4492, 0.0422
0.4918, 0.0402
0.5188, 0.0426
0.5214, 0.0194
0.3256, 0.0634
0.324, 0.0634
0.3302, 0.0526
0.3442, 0.0562
0.3536, 0.0586
0.3846, 0.0502
0.4062, 0.0454
0.422, 0.0412
0.4472, 0.0438
0.4958, 0.046
0.5288, 0.0464
0.5618, 0.013
0.3532, 0.0612
0.3492, 0.0652
0.3578, 0.0574
0.367, 0.0568
0.375, 0.052
0.4042, 0.0512
0.4298, 0.042
0.475, 0.042
0.513, 0.0404
0.5498, 0.0402
0.5962, 0.0172
0.3766, 0.066
0.3718, 0.06
0.3818, 0.0494
0.3936, 0.0528
0.4212, 0.0484
0.4506, 0.0492
0.4614, 0.046
0.5148, 0.0438
0.5604, 0.0382
0.6282, 0.013
0.3966, 0.0546
0.4092, 0.0518
0.4292, 0.0526
0.4516, 0.049
0.4524, 0.046
0.4834, 0.0452
0.5224, 0.0364
0.544, 0.0392
0.6628, 0.0108
0.418, 0.0456
0.4462, 0.0462
0.4518, 0.0442
0.4718, 0.0432
0.5024, 0.039
0.5348, 0.0376
0.5746, 0.038
0.684, 0.0088
0.4664, 0.0426
0.4818, 0.0384
0.488, 0.033
0.5116, 0.0344
0.5468, 0.0298
0.5894, 0.0322
0.7178, 0.0078
0.503, 0.032
0.512, 0.0316
0.5394, 0.0288
0.5572, 0.0302
0.588, 0.0274
0.7518, 0.0064
0.5372, 0.03
0.57, 0.0256
0.5794, 0.025
0.6134, 0.0226
0.7636, 0.0046
0.5642, 0.026
0.5892, 0.0274
0.6192, 0.0238
0.7982, 0.0048
0.5946, 0.0174
0.6324, 0.0188
0.8192, 0.005
0.6308, 0.0186
0.8468, 0.0054
